,endTime,artistName,trackName,msPlayed
5295,2020-05-09 13:57,Pink Floyd,One Of These Days - 2011 Remastered Version,341656
5296,2020-05-09 13:57,John Lennon,God - Remastered 2010,789
5297,2020-05-09 13:58,John Lennon,God - Remastered 2010,704
5298,2020-05-09 14:06,Fleetwood Mac,Go Your Own Way - 2004 Remaster,223613
5299,2020-05-09 14:10,John Lennon,God - Remastered 2010,252773
5300,2020-05-09 14:11,Jim Sullivan,Sandman,5791
5301,2020-05-09 14:14,The Beatles,Tomorrow Never Knows - Remastered 2009,179546
5302,2020-05-09 14:17,John Lennon,How? - Remastered 2010,226280
5303,2020-05-09 14:17,Pink Floyd,Goodbye Blue Sky - 2011 Remastered Version,7317
5304,2020-05-09 14:18,Bob Dylan,Like a Rolling Stone,703
5305,2020-05-09 14:18,Elton John,"Lucy In The Sky With Diamonds - Live From Madison Square Garden, USA/1974",1365
5306,2020-05-09 14:18,The Who,Won't Get Fooled Again - Original Album Version,1728
5307,2020-05-09 14:18,Elton John,"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974",149
5308,2020-05-09 14:18,Graham Nash,Our House - Demo,490
5309,2020-05-09 14:22,The Rolling Stones,Gimme Shelter,270773
5310,2020-05-09 14:23,The Beatles,Polythene Pam - Remastered 2009,72640
5311,2020-05-09 14:36,Elton John,Blues For My Baby And Me,51874
5312,2020-05-09 14:36,Captain Beefheart & His Magic Band,Low Yo Yo Stuff,1536
5313,2020-05-09 14:39,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
5314,2020-05-09 14:44,Queen,One Year Of Love - Remastered 2011,267480
5315,2020-05-09 14:47,The Beach Boys,Heroes and Villains (Stereo),219933
5316,2020-05-09 14:51,Elton John,I'm Still Standing,183440
5317,2020-05-09 14:53,The Beatles,Taxman - Remastered 2009,158853
5318,2020-05-09 14:57,Rupert Holmes,Him,5189
5319,2020-05-09 14:57,Kenny Loggins,"Footloose - From ""Footloose"" Soundtrack",226826
5320,2020-05-09 15:03,Dire Straits,Sultans Of Swing,348400
5321,2020-05-09 15:03,David Crosby,Cowboy Movie,36401
5322,2020-05-09 15:08,Elton John,Saturday Night’s Alright (For Fighting) - Remastered 2014,295466
5323,2020-05-09 15:11,The Beatles,Eleanor Rigby - Remastered 2009,126533
5324,2020-05-09 15:13,The Beatles,She Came In Through The Bathroom Window - Remastered 2009,118626
5325,2020-05-09 15:16,Pink Floyd,Any Colour You Like - 2011 Remastered Version,206429
5326,2020-05-09 15:19,Bob Dylan,Blowin' in the Wind,165426
5327,2020-05-09 15:24,Pink Floyd,Wish You Were Here - 2011 Remastered Version,334743
5328,2020-05-09 15:29,Fleetwood Mac,Gypsy - 2016 Remaster,267033
5329,2020-05-09 15:35,Fleetwood Mac,The Chain - 2004 Remaster,269813
5330,2020-05-09 15:37,The Beach Boys,Wouldn't It Be Nice - Stereo Mix,153205
5331,2020-05-09 15:42,The Beatles,Strawberry Fields Forever - Remastered 2009,247320
5332,2020-05-09 15:45,The Beatles,Something - Remastered 2009,182293
5333,2020-05-09 16:05,Dua Lipa,Don't Start Now,183290
5334,2020-05-09 16:09,Dua Lipa,Pretty Please,194607
5335,2020-05-09 16:12,Dua Lipa,Good In Bed,218754
5336,2020-05-09 16:16,Dua Lipa,Break My Heart,221820
5337,2020-05-09 16:19,Dua Lipa,Boys Will Be Boys,166266
5338,2020-05-09 16:19,Dua Lipa,Cool,1834
5339,2020-05-09 16:19,Dua Lipa,Physical,1023
5340,2020-05-09 16:19,Dua Lipa,Love Again,7829
5341,2020-05-09 16:19,Dua Lipa,Levitating,960
5342,2020-05-09 16:19,Dua Lipa,Future Nostalgia,11011
5343,2020-05-09 16:23,Dua Lipa,Hallucinate,208505
5344,2020-05-09 18:14,Dua Lipa,Don't Start Now,8381
5345,2020-05-09 18:22,Led Zeppelin,Stairway to Heaven - Remaster,482830
5346,2020-05-09 18:28,Pink Floyd,One Of These Days - 2011 Remastered Version,354613
5347,2020-05-09 18:34,Brian Wilson,Heroes and Villains,3882
5348,2020-05-09 18:34,Bob Dylan,Like a Rolling Stone,448
5349,2020-05-09 18:34,Jim Sullivan,Sandman,2666
5350,2020-05-09 18:34,Elton John,Blues For My Baby And Me,1429
5351,2020-05-09 18:34,Pink Floyd,The Trial - 2011 Remastered Version,4510
5352,2020-05-09 18:34,Queen,One Year Of Love - Remastered 2011,5930
5353,2020-05-09 18:34,Elton John,This Song Has No Title - Remastered 2014,1216
5354,2020-05-09 18:34,Deniece Williams,"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",1109
5355,2020-05-09 18:34,Kenny Loggins,"Footloose - From ""Footloose"" Soundtrack",1450
5356,2020-05-09 18:34,Pink Floyd,Wish You Were Here - 2011 Remastered Version,334743
5357,2020-05-09 18:34,Fleetwood Mac,Welcome to the Room... Sara - 2017 Remaster,1535
5358,2020-05-09 18:34,Graham Nash,Our House - Demo,810
5359,2020-05-09 18:34,John Lennon,Imagine - Remastered 2010,1216
5360,2020-05-09 18:34,John Lennon,How? - Remastered 2010,1685
5361,2020-05-09 18:34,John Lennon,God - Remastered 2010,1066
5362,2020-05-09 18:34,Captain Beefheart & His Magic Band,Low Yo Yo Stuff,426
5363,2020-05-09 18:34,Boz Scaggs,Breakdown Dead Ahead,1920
5364,2020-05-09 18:34,Pink Floyd,Goodbye Blue Sky - 2011 Remastered Version,1194
5365,2020-05-09 18:38,Fleetwood Mac,Don't Stop - 2004 Remaster,1258
5366,2020-05-09 18:38,Elton John,I'm Still Standing,1365
5367,2020-05-09 18:38,Rupert Holmes,Him,0
5368,2020-05-09 18:38,The Beatles,Tomorrow Never Knows - Remastered 2009,2005
5369,2020-05-09 18:38,The Beach Boys,Wouldn't It Be Nice - Stereo Mix,1557
5370,2020-05-09 18:38,The Beatles,Taxman - Remastered 2009,1066
5371,2020-05-09 18:38,The Who,Won't Get Fooled Again - Original Album Version,0
5372,2020-05-09 18:38,The Rolling Stones,Gimme Shelter,1983
5373,2020-05-09 18:38,David Crosby,Cowboy Movie,7193
5374,2020-05-09 18:38,The Beatles,Eleanor Rigby - Remastered 2009,1621
5375,2020-05-09 18:38,"Crosby, Stills, Nash & Young",Helpless,170
5376,2020-05-09 18:38,The Beach Boys,Heroes and Villains (Stereo),219933
5377,2020-05-09 18:43,The Rolling Stones,Gimme Shelter,264021
5378,2020-05-09 18:45,Portugal. The Man,Feel It Still,163253
5379,2020-05-09 18:46,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",20268
5380,2020-05-09 18:54,AJR,Weak,201160
5381,2020-05-09 18:57,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",172676
5382,2020-05-09 19:01,French Montana,Unforgettable,233901
5383,2020-05-09 19:05,Astrid S,Bloodstream,186547
5384,2020-05-09 19:05,LVTHER,Some Kind Of Magic,106
5385,2020-05-09 19:08,LVTHER,Some Kind Of Magic,190165
5386,2020-05-09 19:09,Billie Eilish,come out and play,25557
5387,2020-05-09 19:12,Christopher Cross,All Right,3682
5388,2020-05-09 19:12,Pink Floyd,Breathe (In The Air) - 2011 Remastered Version,169534
5389,2020-05-09 23:16,The Beach Boys,Heroes And Villains - Remastered 2001,149890
5390,2020-05-10 14:09,The Beach Boys,Heroes And Villains - Remastered 2001,219306
