artistName,trackName,trackName
Dire Straits,Your Latest Trick,2
Dire Straits,Angel Of Mercy,1
Dire Straits,Follow Me Home,1
Dire Straits,Hand In Hand,1
Dire Straits,News,1
Dire Straits,Portobello Belle,1
Dire Straits,Romeo And Juliet,1
Dire Straits,Single Handed Sailor,1
Dire Straits,"Sultans of Swing - Live at Live Aid, Wembley Stadium, 13th July 1985",1
Dire Straits,Tunnel Of Love,1
Disclosure,You & Me - Flume Remix,2
Dmitri Shostakovich,Jazz Suite No. 2: VI. Waltz 2,2
Dmitri Shostakovich,Piano Concerto No. 2 Op. 102 in F Major: II. Andante,1
Don McLean,Vincent,3
Don McLean,American Pie,1
Donald Fagen,The Goodbye Look,5
Donald Fagen,The Nightfly,5
Donna Summer,"I Feel Love - 12"" Version",1
Donovan,Hurdy Gurdy Man,1
Donovan,Sunshine Superman,1
Dua Lipa,Don't Start Now,50
Dua Lipa,Hallucinate,44
Dua Lipa,Love Again,30
Dua Lipa,Physical,29
Dua Lipa,Levitating,28
Dua Lipa,Pretty Please,23
Dua Lipa,Cool,21
Dua Lipa,Break My Heart,20
Dua Lipa,Boys Will Be Boys,19
Dua Lipa,Good In Bed,19
Dua Lipa,Future Nostalgia,16
Dua Lipa,Room for 2,2
Dua Lipa,New Rules,1
Dwight Twilley Band,I'm On Fire - Remastered,3
Eagles,Hotel California - 2013 Remaster,37
Eagles,Take It Easy - 2013 Remaster,5
Eagles,Life in the Fast Lane - 2013 Remaster,2
Eagles,One of These Nights - 2013 Remaster,1
Ed Sheeran,I Don't Care (with Justin Bieber),2
Ed Sheeran,Give Me Love,1
Eels,Mr. E's Beautiful Blues,1
Electric Light Orchestra,Evil Woman,78
Electric Light Orchestra,Across the Border,74
Electric Light Orchestra,Confusion,70
Electric Light Orchestra,Sweet Talkin' Woman,70
Electric Light Orchestra,Need Her Love,66
Electric Light Orchestra,Turn to Stone,63
Electric Light Orchestra,Livin' Thing,62
Electric Light Orchestra,Wishing,56
Electric Light Orchestra,On the Run,55
Electric Light Orchestra,Don't Bring Me Down,53
Electric Light Orchestra,Telephone Line,50
Electric Light Orchestra,Shangri-La,49
Electric Light Orchestra,Mr. Blue Sky,47
Electric Light Orchestra,Tightrope,47
Electric Light Orchestra,Jungle,39
Electric Light Orchestra,Down Home Town,33
Electric Light Orchestra,Rockaria!,30
Electric Light Orchestra,Last Train to London,28
Electric Light Orchestra,Midnight Blue,25
Electric Light Orchestra,The Diary of Horace Wimp,23
Electric Light Orchestra,It's Over,21
Electric Light Orchestra,Night in the City,21
Electric Light Orchestra,Shine a Little Love,21
Electric Light Orchestra,Nightrider,19
Electric Light Orchestra,Birmingham Blues,14
Electric Light Orchestra,Fire On High,14
Electric Light Orchestra,Strange Magic,14
Electric Light Orchestra,Believe Me Now,13
Electric Light Orchestra,Poker,13
Electric Light Orchestra,Starlight,13
Electric Light Orchestra,Above the Clouds,11
Electric Light Orchestra,One Summer Dream,11
Electric Light Orchestra,Standin' in the Rain,11
Electric Light Orchestra,Steppin' Out,11
Electric Light Orchestra,Sweet Is the Night,10
Electric Light Orchestra,Waterfall,10
Electric Light Orchestra,Big Wheels,9
Electric Light Orchestra,Mission (A World Record),9
Electric Light Orchestra,Do Ya,8
Electric Light Orchestra,Summer and Lightning,8
Electric Light Orchestra,The Whale,8
Electric Light Orchestra,Wild West Hero,8
Electric Light Orchestra,So Fine,7
Electric Light Orchestra,Can't Get It out of My Head,2
Electric Light Orchestra,Eldorado Overture,2
Electric Light Orchestra,Last Train to London - Live at Wembley Stadium,2
Electric Light Orchestra,Shine a Little Love - Live at Wembley Stadium,2
Electric Light Orchestra,Sweet Talkin' Woman - Live at Wembley Stadium,2
Electric Light Orchestra,Wild West Hero - Live at Wembley Stadium,2
Electric Light Orchestra,All Over the World - Live at Wembley Stadium,1
Electric Light Orchestra,Can't Get It Out of My Head - Live at Wembley Stadium,1
Electric Light Orchestra,Don't Bring Me Down - Live,1
Electric Light Orchestra,Don't Bring Me Down - Live at Wembley Stadium,1
Electric Light Orchestra,Evil Woman - Live at Wembley Stadium,1
Electric Light Orchestra,Handle with Care - Live at Wembley Stadium,1
Electric Light Orchestra,Livin' Thing - Live at Wembley Stadium,1
Electric Light Orchestra,Mr. Blue Sky - Live at Wembley Stadium,1
Electric Light Orchestra,Rockaria! - Live at Wembley Stadium,1
Electric Light Orchestra,Roll Over Beethoven - Live at Wembley Stadium,1
Electric Light Orchestra,Showdown,1
Electric Light Orchestra,Showdown - Live at Wembley Stadium,1
Electric Light Orchestra,Telephone Line - Live at Wembley Stadium,1
Electric Light Orchestra,Turn to Stone - Live at Wembley Stadium,1
Electric Light Orchestra,When I Was a Boy,1
Electric Light Orchestra,Xanadu - Live at Wembley Stadium,1
Eliza Doolittle,Pack Up,1
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",1
Elton John,Candle In The Wind - Remastered 2014,57
Elton John,Honky Cat,55
Elton John,Funeral For A Friend / Love Lies Bleeding - Remastered 2014,52
Elton John,Bennie And The Jets - Remastered 2014,42
Elton John,All The Girls Love Alice - Remastered 2014,41
Elton John,Teacher I Need You,41
Elton John,The Ballad Of Danny Bailey (1909-1934) - Remastered 2014,41
Elton John,Goodbye Yellow Brick Road - Remastered 2014,40
Elton John,Don't Let The Sun Go Down On Me,39
Elton John,Tiny Dancer,39
Elton John,Your Song,39
Elton John,Crocodile Rock,38
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",38
Elton John,Daniel,37
Elton John,Pinball Wizard,36
Elton John,"Whatever Gets You Thru The Night - Live From Madison Square Garden, USA/1974",35
Elton John,Elderberry Wine,34
Elton John,"I Saw Her Standing There - Live From Madison Square Garden, USA/1974",32
Elton John,I'm Still Standing,31
Elton John,"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974",29
Elton John,Indian Sunset,28
Elton John,"Lucy In The Sky With Diamonds - Live From Madison Square Garden, USA/1974",27
Elton John,Grey Seal - Remastered 2014,17
Elton John,This Song Has No Title - Remastered 2014,16
Elton John,"Your Song - Live From Madison Square Garden, USA/1974",16
Elton John,Your Sister Can't Twist (But She Can Rock'n' Roll) - Remastered 2014,13
Elton John,Jamaica Jerk-Off - Remastered 2014,12
Elton John,I've Seen That Movie Too - Remastered 2014,11
Elton John,Saturday Night’s Alright (For Fighting) - Remastered 2014,11
Elton John,Have Mercy On The Criminal,8
Elton John,Sweet Painted Lady - Remastered 2014,8
Elton John,Blues For My Baby And Me,7
Elton John,Dirty Little Girl - Remastered 2014,7
Elton John,I Think I'm Going To Kill Myself,7
Elton John,Mellow,7
Elton John,Salvation,7
Elton John,Social Disease - Remastered 2014,6
Elton John,Texan Love Song,6
Elton John,"Bennie And The Jets - Live From Madison Square Garden, USA/1974",5
Elton John,I'm Going To Be A Teenage Idol,5
Elton John,Midnight Creeper,5
Elton John,Roy Rogers - Remastered 2014,5
Elton John,Candle In The Wind 1997,4
Elton John,Harmony - Remastered 2014,4
Elton John,Take Me To The Pilot,4
Elton John,"Take Me To The Pilot - Live From Madison Square Garden, USA/1974",4
Elton John,Amy,3
Elton John,High Flying Bird,3
Elton John,Lucy In The Sky With Diamonds,3
Elton John,Mona Lisas And Mad Hatters,3
Elton John,Screw You (Young Man's Blues),3
Elton John,Slave,3
Elton John,Susie (Dramas),3
Elton John,Burn Down The Mission - Live At The Royal Festival Hall,2
Elton John,"Daniel - Live From Madison Square Garden, USA/1974",2
Elton John,"Grey Seal - Live From Madison Square Garden, USA/1974",2
Elton John,Hercules,2
Elton John,Holiday Inn,2
Elton John,Honky Cat - Live At The Royal Festival Hall,2
Elton John,Madman Across The Water,2
Elton John,Saturday Night's Alright For Fighting - Live At The Royal Festival Hall,2
Elton John,All The Girls Love Alice - Live At Madison Square Garden,1
Elton John,All The Nasties,1
Elton John,Bad Side Of The Moon - Live At The Royal Festival Hall,1
Elton John,Captain Fantastic And The Brown Dirt Cowboy,1
Elton John,Crocodile Rock - Live At The Royal Festival Hall,1
Elton John,"Don't Let the Sun Go Down on Me - Live at Live Aid, Wembley Stadium, 13th July 1985",1
Elton John,Empty Garden (Hey Hey Johnny) - Remastered 2003,1
Elton John,"Funeral For A Friend / Love Lies Bleeding - Live From Madison Square Garden, USA/1974",1
Elton John,Goodbye,1
Elton John,Grey Seal,1
Elton John,Jack Rabbit - Single Version,1
Elton John,Levon,1
Elton John,Razor Face,1
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time) - Live From Madison Square Garden, USA/1974",1
Elton John,Rotten Peaches,1
Elton John,Sing Me No Sad Songs - Band Demo,1
Elton John,Skyline Pigeon - Live At The Royal Festival Hall,1
Elton John,Skyline Pigeon - Piano Version,1
Elton John,"The Bitch Is Back - Live From Madison Square Garden, USA/1974",1
Elton John,Whenever You're Ready (We'll Go Steady Again) - Single Version,1
Elton John,You Can Make History (Young Again),1
Elton John,"You're So Static - Live From Madison Square Garden, USA/1974",1
Emil Stabil,Er Det En Fugl,1
Emil Stabil,Swimmingpool,1
Emitt Rhodes,Promises I've Made,1
Emitt Rhodes,With My Face On The Floor,1
Emma Stone,Audition (The Fools Who Dream),1
Emma Stone,Someone In The Crowd,1
Empty Fields,Aero Noise,188
Ennio Morricone,La condanna - Remastered,1
Ennio Morricone,La resa - Remastered,1
Equinox,Bones,1
Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",36
Eric Clapton,Beware Of Darkness - Live,3
Eric Clapton,If I Needed Someone - Live,3
Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",3
Eric Clapton,Wah Wah - Live,2
Eric Clapton,I Shot The Sheriff,1
Eric Clapton,"Layla - Live at Live Aid, John F. Kennedy Stadium, 13th July 1985",1
Eric Clapton,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",1
FM957,FM95BLÖ - 24. janúar 2020,2
FM957,FM95BLÖ - 31. janúar 2020,2
Faces,Glad and Sorry,1
Faces,Pineapple and the Monkey,1
Faces,Stay With Me,1
Fat Mattress,Mr. Moonshine,1
Fleetwood Mac,The Chain - 2004 Remaster,149
Fleetwood Mac,Hold Me - 2016 Remaster,91
Fleetwood Mac,You Make Loving Fun - 2004 Remaster,87
Fleetwood Mac,Go Your Own Way - 2004 Remaster,73
Fleetwood Mac,Everywhere - 2017 Remaster,71
Fleetwood Mac,Dreams - 2004 Remaster,68
Fleetwood Mac,Rhiannon,66
Fleetwood Mac,I Don't Want to Know - 2004 Remaster,64
Fleetwood Mac,Landslide,61
Fleetwood Mac,Tango in the Night - 2017 Remaster,61
Fleetwood Mac,Don't Stop - 2004 Remaster,58
Fleetwood Mac,Little Lies - 2017 Remaster,55
Fleetwood Mac,Seven Wonders - 2017 Remaster,52
Fleetwood Mac,Gypsy - 2016 Remaster,51
Fleetwood Mac,Warm Ways,47
Fleetwood Mac,I'm so Afraid,44
Fleetwood Mac,Songbird - 2004 Remaster,43
Fleetwood Mac,"The Chain - Live at the Forum, Los Angeles, CA October 21-22, 1982; 2016 Remaster",35
Fleetwood Mac,Never Going Back Again - 2004 Remaster,31
Fleetwood Mac,Say You Love Me,31
Fleetwood Mac,Oh Daddy - 2004 Remaster,21
Fleetwood Mac,Oh Diane - 2016 Remaster,19
Fleetwood Mac,Second Hand News - 2004 Remaster,18
Fleetwood Mac,Crystal,16
Fleetwood Mac,Blue Letter,15
Fleetwood Mac,Caroline - 2017 Remaster,15
Fleetwood Mac,Family Man - 2017 Remaster,15
Fleetwood Mac,Welcome to the Room... Sara - 2017 Remaster,15
